,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
0,20.5,17.5,5247.5,3751.0
1,21.5,17.5,5434.0,3750.5
2,25.5,17.5,6180.5,3748.5
3,28.5,17.5,6740.5,3747.0
4,21.0,18.0,5340.5,3804.5
5,19.5,18.5,5061.0,3859.0
6,20.5,18.5,5247.5,3858.5
7,21.5,18.5,5434.0,3858.0
8,22.5,18.5,5620.5,3857.5
9,25.5,18.5,6180.5,3856.0
10,27.5,18.5,6554.0,3855.0
11,20.0,19.0,5154.5,3912.5
12,22.0,19.0,5527.5,3911.5
13,18.5,19.5,4874.5,3966.5
14,19.5,19.5,5061.5,3966.5
15,20.5,19.5,5248.0,3966.0
16,21.5,19.5,5434.5,3965.5
17,22.5,19.5,5621.0,3965.0
18,23.5,19.5,5807.5,3964.5
19,24.5,19.5,5994.5,3964.0
20,25.5,19.5,6181.0,3963.5
21,19.0,20.0,4968.0,4020.0
22,21.0,20.0,5341.5,4019.5
23,23.0,20.0,5714.5,4018.5
24,17.5,20.5,4688.0,4074.0
25,18.5,20.5,4874.5,4073.5
26,19.5,20.5,5061.5,4073.5
27,20.5,20.5,5248.5,4073.0
28,21.5,20.5,5435.0,4072.5
29,22.5,20.5,5621.5,4072.0
30,23.5,20.5,5808.0,4071.5
31,18.0,21.0,4781.5,4127.5
32,20.0,21.0,5155.0,4126.5
33,22.0,21.0,5528.5,4125.5
34,8.5,21.5,3009.0,4186.0
35,9.5,21.5,3195.5,4185.5
36,17.5,21.5,4688.5,4181.5
37,18.5,21.5,4875.0,4181.0
38,19.5,21.5,5061.5,4180.5
39,20.5,21.5,5248.5,4180.0
40,21.5,21.5,5435.5,4179.5
41,22.5,21.5,5622.0,4179.0
42,23.5,21.5,5808.5,4178.5
43,7.0,22.0,2729.0,4240.5
44,9.0,22.0,3102.5,4239.5
45,19.0,22.0,4968.5,4234.5
46,21.0,22.0,5342.0,4233.5
47,23.0,22.0,5715.5,4232.5
48,6.5,22.5,2635.5,4294.0
49,7.5,22.5,2822.0,4294.0
50,7.5,22.5,2822.5,4293.5
51,8.5,22.5,3009.0,4293.5
52,9.5,22.5,3195.5,4293.0
53,10.5,22.5,3382.5,4292.5
54,17.5,22.5,4689.0,4289.0
55,18.5,22.5,4875.5,4288.5
56,19.5,22.5,5062.0,4288.0
57,20.5,22.5,5248.5,4287.5
58,21.5,22.5,5435.5,4287.0
59,22.5,22.5,5622.0,4286.5
60,23.5,22.5,5808.5,4286.0
61,8.0,23.0,2915.5,4347.0
62,10.0,23.0,3289.0,4346.5
63,16.0,23.0,4409.0,4343.5
64,18.0,23.0,4782.5,4342.5
65,20.0,23.0,5155.5,4341.5
66,22.0,23.0,5528.5,4340.5
67,7.5,23.5,2822.5,4400.5
68,8.5,23.5,3009.0,4400.0
69,8.5,23.5,3009.0,4400.5
70,9.5,23.5,3195.5,4400.0
71,9.5,23.5,3196.0,4400.0
72,10.5,23.5,3382.5,4399.5
73,14.5,23.5,4129.0,4397.5
74,15.5,23.5,4315.5,4397.0
75,16.5,23.5,4502.5,4396.5
76,17.5,23.5,4689.5,4396.5
77,18.5,23.5,4876.0,4396.0
78,19.5,23.5,5062.5,4395.5
79,20.5,23.5,5249.0,4395.0
80,21.5,23.5,5435.5,4394.5
81,22.5,23.5,5622.0,4394.0
82,23.5,23.5,5808.5,4393.5
83,9.0,24.0,3102.5,4453.5
84,15.0,24.0,4222.5,4450.5
85,17.0,24.0,4596.0,4450.0
86,19.0,24.0,4969.5,4449.5
87,21.0,24.0,5342.5,4448.5
88,23.0,24.0,5715.5,4447.5
89,7.5,24.5,2823.0,4508.0
90,8.5,24.5,3009.5,4507.5
91,9.5,24.5,3196.0,4507.0
92,13.5,24.5,3943.0,4505.0
93,14.5,24.5,4129.5,4504.5
94,15.5,24.5,4316.0,4504.0
95,16.5,24.5,4502.5,4503.5
96,17.5,24.5,4689.5,4503.5
97,18.5,24.5,4876.0,4503.0
98,19.5,24.5,5062.5,4502.5
99,20.5,24.5,5249.5,4502.0
100,21.5,24.5,5436.0,4501.5
101,22.5,24.5,5622.5,4501.0
102,23.5,24.5,5809.0,4500.5
103,8.0,25.0,2916.5,4561.5
104,14.0,25.0,4036.5,4558.5
105,16.0,25.0,4409.5,4557.5
106,18.0,25.0,4782.5,4556.5
107,20.0,25.0,5156.0,4555.5
108,22.0,25.0,5529.5,4554.5
109,6.5,25.5,2636.5,4616.0
110,7.5,25.5,2823.5,4615.5
111,8.5,25.5,3010.0,4615.0
112,9.5,25.5,3196.5,4614.5
113,11.5,25.5,3570.0,4613.5
114,13.5,25.5,3943.0,4612.5
115,14.5,25.5,4129.5,4612.0
116,15.5,25.5,4316.5,4611.5
117,15.5,25.5,4316.0,4611.5
118,16.5,25.5,4503.0,4611.0
119,17.5,25.5,4689.5,4610.5
120,19.5,25.5,5062.5,4609.5
121,20.5,25.5,5249.5,4609.0
122,21.5,25.5,5436.5,4608.5
123,21.5,25.5,5436.0,4608.5
124,22.5,25.5,5623.0,4608.0
125,5.0,26.0,2356.5,4670.5
126,7.0,26.0,2730.0,4669.5
127,9.0,26.0,3103.5,4668.5
128,15.0,26.0,4223.0,4665.5
129,21.0,26.0,5343.0,4662.5
130,3.5,26.5,2077.0,4724.5
131,4.5,26.5,2263.5,4724.5
132,5.5,26.5,2450.0,4724.0
133,6.5,26.5,2636.5,4723.5
134,7.5,26.5,2823.5,4723.0
135,8.5,26.5,3010.5,4722.5
136,9.5,26.5,3197.0,4722.0
137,10.5,26.5,3383.5,4721.5
138,13.5,26.5,3943.0,4720.0
139,14.5,26.5,4129.5,4719.5
140,15.5,26.5,4316.5,4719.0
141,16.5,26.5,4503.5,4718.5
142,17.5,26.5,4689.5,4718.0
143,18.5,26.5,4876.5,4717.5
144,19.5,26.5,5063.5,4717.0
145,4.0,27.0,2170.5,4778.0
146,6.0,27.0,2543.5,4777.5
147,8.0,27.0,2917.0,4776.5
148,10.0,27.0,3290.5,4775.5
149,12.0,27.0,3663.5,4774.5
150,14.0,27.0,4036.5,4773.5
151,16.0,27.0,4410.0,4772.5
152,2.5,27.5,1890.5,4832.0
153,3.5,27.5,2077.5,4831.5
154,4.5,27.5,2264.0,4831.5
155,5.5,27.5,2450.5,4831.0
156,6.5,27.5,2637.0,4830.5
157,7.5,27.5,2823.5,4830.0
158,8.5,27.5,3010.5,4829.5
159,9.5,27.5,3197.0,4829.0
160,10.5,27.5,3383.5,4828.5
161,11.5,27.5,3570.0,4828.0
162,13.5,27.5,3943.5,4827.0
163,14.5,27.5,4130.0,4826.5
164,15.5,27.5,4316.5,4826.5
165,15.5,27.5,4317.0,4826.0
166,16.5,27.5,4503.5,4826.0
167,3.0,28.0,1984.0,4885.5
168,5.0,28.0,2357.5,4884.5
