,pxl_row_in_fullres,pxl_col_in_fullres,spot_index,cell_index,cell_nums
0,1861.8950871575767,10775.818324870539,0,0_0,3
1,1930.0,10680.0,0,0_1,3
2,1791.0,10819.0,0,0_2,3
3,3624.0,6904.0,2,2_0,2
4,3763.0,6765.0,2,2_1,2
7,3705.0046675650856,6810.0,6,6_0,4
8,3678.0,6708.8989023795775,6,6_1,4
9,3687.459859451938,6671.0,6,6_2,4
10,3817.0,6704.856952809102,6,6_3,4
11,3874.0,5597.0,9,9_0,2
12,3735.0,5458.0,9,9_1,2
18,3940.2844493129296,5784.0,21,21_0,3
19,3842.0,5645.0,21,21_1,3
20,3981.0,5718.945829457953,21,21_2,3
23,3896.0,5691.0,27,27_0,2
24,4035.0,5552.0,27,27_1,2
25,3895.0,5877.0,28,28_0,2
26,4034.0,5738.0,28,28_1,2
31,4088.0,5645.0,36,36_0,2
32,3949.0,5784.0,36,36_1,2
33,4005.0,4619.0,38,38_0,2
34,4144.0,4758.0,38,38_1,2
37,4202.0,3033.0,45,45_0,3
38,4063.0,3141.329082528534,45,45_1,3
39,4149.757320034636,3172.0,45,45_2,3
42,4197.0,4899.0,48,48_0,2
43,4058.0,5038.0,48,48_1,2
45,4195.0,5785.0,52,52_0,2
46,4056.0,5646.0,52,52_1,2
47,4164.48945513016,3020.7755486670358,53,53_0,8
48,4142.865167122373,3036.753669241105,53,53_1,8
49,4147.7618506070485,3079.0,53,53_2,8
50,4184.688400078613,3077.3442390670825,53,53_3,8
51,4230.785721285769,3073.866984467982,53,53_4,8
52,4186.6400929107185,2940.0,53,53_5,8
53,4117.0,3050.6147310352185,53,53_6,8
54,4256.0,3063.6154802977508,53,53_7,8
55,4247.100998821267,3126.0,54,54_0,7
56,4188.1987208771125,3187.958621217698,54,54_1,7
57,4255.0,3154.398812977987,54,54_2,7
58,4228.868164351167,3265.0,54,54_3,7
59,4222.350466618808,3181.8672470759916,54,54_4,7
60,4250.594124468496,3218.8109777607715,54,54_5,7
61,4116.0,3257.2518359774444,54,54_6,7
63,4112.0,4880.392975897459,56,56_0,3
64,4251.0,4806.0,56,56_1,3
65,4170.849048294089,4945.0,56,56_2,3
67,4172.0,2612.0,62,62_0,2
68,4311.0,2473.0,62,62_1,2
69,4259.946959872941,2724.8024031253117,63,63_0,8
70,4310.0,2731.10219908637,63,63_1,8
71,4270.661904522865,2660.0,63,63_2,8
72,4282.271034311018,2770.761802096808,63,63_3,8
73,4171.0,2748.252620489394,63,63_4,8
74,4228.104362230812,2799.0,63,63_5,8
75,4237.014815444081,2722.0995554429637,63,63_6,8
76,4281.857169151482,2704.536191821004,63,63_7,8
77,4285.066765241581,2933.287442264419,64,64_0,10
78,4301.802396486376,2847.0,64,64_1,10
79,4310.0,2890.7737925352208,64,64_2,10
80,4286.025688735293,2858.7949003564895,64,64_3,10
81,4211.572773623676,2898.4768070743357,64,64_4,10
82,4228.981199406577,2986.0,64,64_5,10
83,4177.148133387005,2861.478037187636,64,64_6,10
84,4204.43898804636,2940.270640716908,64,64_7,10
85,4171.0,2941.5612648533415,64,64_8,10
86,4268.114961848718,2910.0389226639295,64,64_9,10
87,4224.8553565109805,3033.0,65,65_0,13
88,4229.241875702094,3083.1187427853574,65,65_1,13
89,4197.70600996906,3105.4151670513174,65,65_2,13
90,4305.378973541702,3128.10399518425,65,65_3,13
91,4170.0,3080.8902493357036,65,65_4,13
92,4247.182805558728,3123.020545594991,65,65_5,13
93,4228.245539170023,3167.115068739278,65,65_6,13
94,4260.761841816719,3058.1175421310854,65,65_7,13
95,4252.7349408124155,3172.0,65,65_8,13
96,4183.729877569393,3069.9352013199236,65,65_9,13
97,4255.628939005245,3073.4458545646457,65,65_10,13
98,4239.244803516778,3100.8648349365203,65,65_11,13
99,4309.0,3081.6100750312175,65,65_12,13
100,4283.057366246105,3309.735611566569,66,66_0,10
101,4218.703267615689,3359.0,66,66_1,10
102,4215.957337704425,3220.0,66,66_2,10
103,4263.227100310187,3285.87763423138,66,66_3,10
104,4309.0,3352.2524158505616,66,66_4,10
105,4175.489743351776,3278.4578597757,66,66_5,10
106,4170.0,3234.0476718954783,66,66_6,10
107,4205.06630376584,3252.799661506295,66,66_7,10
108,4256.45588250534,3312.3139833964606,66,66_8,10
109,4304.791103450219,3308.438037960948,66,66_9,10
111,4300.052308788799,5086.0,69,69_0,3
112,4165.0,5173.5209558844235,69,69_1,3
113,4304.0,5225.0,69,69_2,3
114,4282.539415924086,2566.0,74,74_0,6
115,4306.742022363031,2607.0675183349067,74,74_1,6
116,4259.396395533847,2705.0,74,74_2,6
117,4250.155944238537,2641.2953947703136,74,74_3,6
118,4364.0,2629.820277768896,74,74_4,6
119,4225.0,2581.563213389062,74,74_5,6
120,4264.993510225866,2851.645131690515,75,75_0,14
121,4225.0,2793.0177692543793,75,75_1,14
122,4307.666324769627,2788.6038898106112,75,75_2,14
123,4265.2097208350815,2796.019090914156,75,75_3,14
124,4344.402690254572,2873.2426924342853,75,75_4,14
125,4280.877512478079,2892.0,75,75_5,14
126,4238.221459151724,2821.095314539808,75,75_6,14
127,4318.240331074791,2845.874818853773,75,75_7,14
128,4364.0,2780.2764368619437,75,75_8,14
129,4261.457172048218,2819.892632298589,75,75_9,14
130,4328.390046029266,2781.086514975407,75,75_10,14
131,4277.136366817489,2813.6525091999856,75,75_11,14
132,4237.320553981744,2777.5458954720293,75,75_12,14
133,4287.365945249798,2753.0,75,75_13,14
134,4264.0661525664755,2867.170415186445,76,76_0,13
135,4224.0,2799.2629498463166,76,76_1,13
136,4306.605300457837,2794.2074150266535,76,76_2,13
137,4264.281685926048,2802.789659017556,76,76_3,13
138,4343.036378038396,2892.0,76,76_4,13
139,4237.377961216215,2831.8125090415283,76,76_5,13
140,4317.14618515993,2860.491940526455,76,76_6,13
141,4363.0,2784.423959594942,76,76_7,13
142,4260.540891475985,2830.4205424187035,76,76_8,13
143,4327.264107544938,2785.506916671194,76,76_9,13
144,4276.170973349855,2823.1983163161804,76,76_10,13
145,4236.254179379268,2781.1794431482676,76,76_11,13
146,4286.368509051467,2753.0,76,76_12,13
147,4225.281988326347,2982.7671737106666,77,77_0,10
148,4347.180492555161,2971.4240590665163,77,77_1,10
149,4277.695679342732,2940.0,77,77_2,10
150,4325.711725741146,3051.7013077865913,77,77_3,10
151,4312.800626668214,2941.0523797410087,77,77_4,10
152,4316.1194377674365,3012.2366162210074,77,77_5,10
153,4224.0,3066.205588060714,77,77_6,10
154,4272.45280666367,3049.471366227237,77,77_7,10
155,4307.1172677455825,3056.538799187953,77,77_8,10
156,4363.0,3079.0,77,77_9,10
157,4255.230047658673,3231.8571918444327,78,78_0,7
158,4252.320308263074,3162.6514174561435,78,78_1,7
159,4224.0,3226.6541784751503,78,78_2,7
160,4363.0,3265.0,78,78_3,7
161,4254.192551125905,3186.279821627648,78,78_4,7
162,4300.259990922157,3181.831074168798,78,78_5,7
163,4266.901883652318,3126.0,78,78_6,7
164,4362.0,3325.86577456796,79,79_0,9
